text,category
Water leakage near my house,Water
No electricity since last night,Electricity
Roads are damaged after rain,Roads
Garbage not collected for days,Sanitation
Street lights not working,Electricity
Water supply timing is irregular,Water
Potholes causing accidents,Roads
Overflowing garbage bins,Sanitation
Power cut frequently happens,Electricity
Drinking water quality is poor,Water
Sewage water mixing with drinking water,Water
No water supply in the morning,Water
Water tank is not cleaned regularly,Water
Frequent low voltage in our locality,Electricity
Electric transformer sparked at night,Electricity
Long power outage during weekends,Electricity
Broken road near bus stand,Roads
Roadside drains are damaged,Roads
Main road has deep potholes,Roads
Garbage burning causing smoke,Sanitation
Public dustbins are overflowing daily,Sanitation
Dead animals not removed from street,Sanitation
Streetlights not repaired in our ward,Electricity
Rainwater stagnation due to bad roads,Roads
Unsafe drinking water smell in pipeline,Water
Uncleared waste near market area,Sanitation
Water meter not working properly,Water
No drinking water in apartment block,Water
Mud mixed water coming from tap,Water
Pipeline leakage near school gate,Water
Electricity outage during daytime,Electricity
High voltage damaging home appliances,Electricity
Frequent tripping in power lines,Electricity
Power line hanging dangerously low,Electricity
Road cracks increasing every week,Roads
Damaged speed breaker on main street,Roads
Road not repaired after pipeline work,Roads
Collapsed roadside shoulder causing risk,Roads
Garbage collection vehicle not visiting,Sanitation
Open dumping ground causing health issues,Sanitation
Clogged drainage creating foul smell,Sanitation
Mosquito breeding due to uncleared waste,Sanitation
Water contamination in overhead tank,Water
Electric pole sparks during rain,Electricity
Road surface peeled off near junction,Roads
Huge pothole near hospital entrance,Roads
Drainage blocked near residential lane,Sanitation
Sewage overflow in front of houses,Sanitation
